Actor Name,Born Time,Born Place,Occupation,Years Active,Spouse
Johnny Galecki,1975-04-30,"Bree, Belgium",Actor,1987-present,No Information
Jim Parsons,1973-03-24,"Houston, Texas",Actor,1993-present,Todd Spiewak
Kaley Cuoco,1985-11-30,"Camarillo, California","Actress, Producer",1992-present,Karl Cook
Simon Helberg,1980-12-09,"Los Angeles, California","Actor, Comedian, Musician",1999-present,Jocelyn Towne
Kunal Nayyar,1981-04-30,"Los Angeles, California","Actor, Comedian",2004-present,Neha Kapur
Sara Gillbert,1975-01-29,"Santa Monica, California",Actress,1984-present,Linda Perry
Melissa Rauch,1980-06-23,"Marlboro Township, New Jersey",Actress,2006-present,Winston Rauch
Mayim Bialik,1975-12-12,"San Diego, California","Actress, Neuroscientist, Author",1987-present,Micheal Stone
Kevin Susan,1970-12-04,"New York City, New York","Actor, Comedian",1998-present,Alessandra Young
Laura Spencer,1986-05-08,"Oklahoma City, Oklahoma",Actress,2009-present,No Information